ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,options,dataTables
maven,org.openrewrite:rewrite-python,org.openrewrite.python.AddDependency,Add Python dependency,"Add a dependency to the `[project].dependencies` array in `pyproject.toml`. When `uv` is available, the `uv.lock` file is regenerated.",1,,Python,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The PyPI package name to add."",""example"":""requests"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The PEP 508 version constraint (e.g., `>=2.28.0`)."",""example"":"">=2.28.0""},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope to add to. Defaults to `project.dependencies`."",""example"":""project.dependencies"",""valid"":[""project.dependencies"",""project.optional-dependencies"",""dependency-groups"",""tool.uv.constraint-dependencies"",""tool.uv.override-dependencies""]},{""name"":""groupName"",""type"":""String"",""displayName"":""Group name"",""description"":""The group name, required when scope is `project.optional-dependencies` or `dependency-groups`."",""example"":""dev""}]",
maven,org.openrewrite:rewrite-python,org.openrewrite.python.ChangeDependency,Change Python dependency,"Change a dependency to a different package in `pyproject.toml`. Searches all dependency arrays. When `uv` is available, the `uv.lock` file is regenerated.",1,,Python,"[{""name"":""oldPackageName"",""type"":""String"",""displayName"":""Old package name"",""description"":""The current PyPI package name to replace."",""example"":""requests"",""required"":true},{""name"":""newPackageName"",""type"":""String"",""displayName"":""New package name"",""description"":""The new PyPI package name."",""example"":""httpx"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""Optional new PEP 508 version constraint. If not specified, the original version constraint is preserved."",""example"":"">=0.24.0""}]",
maven,org.openrewrite:rewrite-python,org.openrewrite.python.RemoveDependency,Remove Python dependency,"Remove a dependency from the `[project].dependencies` array in `pyproject.toml`. When `uv` is available, the `uv.lock` file is regenerated.",1,,Python,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The PyPI package name to remove."",""example"":""requests"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope to remove from. Defaults to `project.dependencies`."",""example"":""project.dependencies"",""valid"":[""project.dependencies"",""project.optional-dependencies"",""dependency-groups"",""tool.uv.constraint-dependencies"",""tool.uv.override-dependencies""]},{""name"":""groupName"",""type"":""String"",""displayName"":""Group name"",""description"":""The group name, required when scope is `project.optional-dependencies` or `dependency-groups`."",""example"":""dev""}]",
maven,org.openrewrite:rewrite-python,org.openrewrite.python.UpgradeDependencyVersion,Upgrade Python dependency version,"Upgrade the version constraint for a dependency in `[project].dependencies` in `pyproject.toml`. When `uv` is available, the `uv.lock` file is regenerated.",1,,Python,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The PyPI package name to update."",""example"":""requests"",""required"":true},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""The new PEP 508 version constraint (e.g., `>=2.31.0`)."",""example"":"">=2.31.0"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""The dependency scope to update in. Defaults to `project.dependencies`."",""example"":""project.dependencies"",""valid"":[""project.dependencies"",""project.optional-dependencies"",""dependency-groups"",""tool.uv.constraint-dependencies"",""tool.uv.override-dependencies""]},{""name"":""groupName"",""type"":""String"",""displayName"":""Group name"",""description"":""The group name, required when scope is `project.optional-dependencies` or `dependency-groups`."",""example"":""dev""}]",
maven,org.openrewrite:rewrite-python,org.openrewrite.python.UpgradeTransitiveDependencyVersion,Upgrade transitive Python dependency version,"Pin a transitive dependency version using the appropriate strategy for the detected package manager: uv uses `[tool.uv].constraint-dependencies`, PDM uses `[tool.pdm.overrides]`, and other managers add a direct dependency.",1,,Python,"[{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The PyPI package name of the transitive dependency to pin."",""example"":""certifi"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The PEP 508 version constraint (e.g., `>=2023.7.22`)."",""example"":"">=2023.7.22"",""required"":true}]",
maven,org.openrewrite:rewrite-python,org.openrewrite.python.format.PythonSpaces,Formats spaces in Python code,Standardizes spaces in Python code. Currently limited to formatting method arguments.,1,Format,Python,,
maven,org.openrewrite:rewrite-python,org.openrewrite.python.search.DependencyInsight,Python dependency insight,Find direct and transitive Python dependencies matching a package name pattern. Results include dependencies that either directly match or transitively include a matching dependency.,1,Search,Python,"[{""name"":""packageNamePattern"",""type"":""String"",""displayName"":""Package name pattern"",""description"":""A glob pattern to match Python package names (PEP 503 normalized). Use `*` as a wildcard."",""example"":""requests*"",""required"":true},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""Match dependencies in the specified scope. All scopes are searched by default."",""example"":""project.dependencies"",""valid"":[""project.dependencies"",""build-system.requires"",""project.optional-dependencies"",""dependency-groups"",""tool.uv.constraint-dependencies"",""tool.uv.override-dependencies"",""tool.pdm.overrides""]},{""name"":""onlyDirect"",""type"":""Boolean"",""displayName"":""Only direct"",""description"":""If enabled, transitive dependencies will not be considered. All dependencies are searched by default."",""example"":""true""}]","[{""name"":""org.openrewrite.python.table.PythonDependenciesInUse"",""displayName"":""Python dependencies in use"",""description"":""Direct and transitive dependencies in use in Python projects."",""columns"":[{""name"":""projectName"",""type"":""String"",""displayName"":""Project name"",""description"":""The name of the project that contains the dependency (from pyproject.toml).""},{""name"":""projectPath"",""type"":""String"",""displayName"":""Project path"",""description"":""The path to the project.""},{""name"":""packageName"",""type"":""String"",""displayName"":""Package name"",""description"":""The name of the Python package.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The resolved version of the package.""},{""name"":""versionConstraint"",""type"":""String"",""displayName"":""Version constraint"",""description"":""The version constraint as declared in pyproject.toml.""},{""name"":""scope"",""type"":""String"",""displayName"":""Scope"",""description"":""Dependency scope: dependencies, buildRequires, optionalDependencies, or dependencyGroups.""},{""name"":""direct"",""type"":""Boolean"",""displayName"":""Direct"",""description"":""Whether this is a direct dependency (true) or transitive dependency (false).""},{""name"":""count"",""type"":""Integer"",""displayName"":""Count"",""description"":""How many times this dependency appears in the dependency tree.""},{""name"":""license"",""type"":""String"",""displayName"":""License"",""description"":""The SPDX license identifier of the project, if available.""}]}]"
